"","idacr","obsid","leader","startdate","enddate","entry","noexit","gender","duration","Rstart","num","length","years"
"40","AFG","AFG-2014","Ahmadzai","2014-09-29","2015-12-31","Regular",10,"M",1.25835622710623,"2014-09-29",41,458.041666666667,1.25490867579909
"41","ALB","ALB-1912","Ismail Qemali Bej","1912-11-29","1914-01-22","Irregular",12,"M",1.1510989010989,"1912-11-29",2,419,1.14794520547945
"42","ALB","ALB-1914-1","Fevzi Bej","1914-01-22","1914-02-21","Unknown",12,"M",0.0824175824175824,"1912-11-29",3,449,1.23013698630137
"43","ALB","ALB-1914-1","Fevzi Bej","1914-01-22","1914-02-21","Unknown",12,"M",0.0824175824175824,"1914-01-22",4,30,0.0821917808219178
"44","ALB","ALB-1914-2","Wilhelm zu Wied","1914-02-21","1914-09-03","Irregular",NA,"M",0.532967032967033,"1914-01-22",5,224,0.613698630136986
"45","ALB","ALB-1914-3","Esat Pashe Toptani","1914-10-05","1916-02-24","Irregular",12,"M",1.39285714285714,"1914-02-21",6,733,2.00821917808219
"46","ALB","ALB-1914-3","Esat Pashe Toptani","1914-10-05","1916-02-24","Irregular",12,"M",1.39285714285714,"1914-10-05",7,507,1.38904109589041
"47","ALB","ALB-1918","Turkhan Pasha","1918-12-28","1920-03-27","Foreign Imposition",NA,"M",1.25,"1914-10-05",8,2000,5.47945205479452
"48","ALB","ALB-1920-1","Delvina","1920-03-27","1920-11-20","Regular",NA,"M",0.653846153846154,"1918-12-28",9,693,1.8986301369863
"49","ALB","ALB-1920-2","Vrioni","1920-12-11","1921-10-17","Regular",NA,"M",0.851648351648352,"1920-03-27",10,569,1.55890410958904
"50","ALB","ALB-1921-1","Evangeli","1921-10-17","1921-12-07","Regular",NA,"M",0.14010989010989,"1920-12-11",11,361,0.989041095890411
"51","ALB","ALB-1921-2","Prishtina","1921-12-07","1921-12-11","Regular",NA,"M",0.010989010989011,"1921-10-17",12,55,0.150684931506849
"52","ALB","ALB-1921-3","Idomeni Kosturis","1921-12-11","1921-12-24","Regular",NA,"M",0.0357142857142857,"1921-12-07",13,17,0.0465753424657534
"53","ALB","ALB-1921-4","Djafer Ypi","1921-12-24","1922-12-02","Regular",NA,"M",0.942307692307692,"1921-12-11",14,356,0.975342465753425
"54","ALB","ALB-1922","Zogu","1922-12-03","1924-03-03","Regular",NA,"M",1.25274725274725,"1921-12-24",15,800,2.19178082191781
"55","ALB","ALB-1924-1","Verlaci","1924-03-05","1924-06-01","Regular",NA,"M",0.241643772893773,"1922-12-03",16,545.958333333333,1.49577625570776
"56","ALB","ALB-1924-2","Vrioni","1924-06-01","1924-06-10","Regular",7,"M",0.0247252747252747,"1924-03-05",17,96.9583333333333,0.265639269406393
"57","ALB","ALB-1924-2","Vrioni","1924-06-01","1924-06-10","Regular",7,"M",0.0247252747252747,"1924-06-01",18,9,0.0246575342465753
"58","ALB","ALB-1924-3","Fan S. Noli","1924-06-12","1924-12-24","Irregular",7,"M",0.535828754578755,"1924-06-01",19,206.041666666667,0.564497716894977
"59","ALB","ALB-1924-3","Fan S. Noli","1924-06-12","1924-12-24","Irregular",7,"M",0.535828754578755,"1924-06-12",20,195.041666666667,0.534360730593607
"60","ALB","ALB-1924-4","Vrioni","1924-12-24","1925-01-10","Irregular",5,"M",0.0467032967032967,"1924-06-12",21,212.041666666667,0.580936073059361
"61","ALB","ALB-1924-4","Vrioni","1924-12-24","1925-01-10","Irregular",5,"M",0.0467032967032967,"1924-12-24",22,17,0.0465753424657534
"62","ALB","ALB-1925","Zogu","1925-01-10","1939-04-12","Irregular",8,"M",14.2994505494505,"1924-12-24",23,5222,14.3068493150685
"63","ALB","ALB-1925","Zogu","1925-01-10","1939-04-12","Irregular",8,"M",14.2994505494505,"1925-01-10",24,5205,14.2602739726027
"64","ALB","ALB-1944","Hoxha","1944-11-29","1985-04-11","Irregular",NA,"M",40.5028617216117,"1925-01-10",25,22006,60.2904109589041
"65","ALB","ALB-1985","Alia","1985-04-13","1992-04-03","Regular",NA,"M",6.99725274725275,"1944-11-29",26,17292.0416666667,47.3754566210046
"66","ALB","ALB-1992","Berisha","1992-04-09","1997-07-24","Regular",NA,"M",5.30769230769231,"1985-04-13",27,4484.95833333333,12.2875570776256
"67","ALB","ALB-1997","Fatos Nano","1997-07-24","1998-10-02","Regular",NA,"M",1.19505494505495,"1992-04-09",28,2367,6.48493150684931
"68","ALB","ALB-1998","Majko","1998-10-02","1999-10-29","Regular",NA,"M",1.07692307692308,"1997-07-24",29,827,2.26575342465753
"69","ALB","ALB-1999","Meta","1999-10-29","2002-02-22","Regular",NA,"M",2.32703754578755,"1998-10-02",30,1239.04166666667,3.39463470319635
"70","ALB","ALB-2002-1","Majko","2002-02-22","2002-07-31","Regular",NA,"M",0.436698717948718,"1999-10-29",31,1006,2.75616438356164
"71","ALB","ALB-2002-2","Fatos Nano","2002-07-31","2005-09-11","Regular",NA,"M",3.12637362637363,"2002-02-22",32,1296.95833333333,3.5533105022831
"72","ALB","ALB-2005","Berisha","2005-09-11","2013-09-15","Regular",NA,"M",8.03846153846154,"2002-07-31",33,4064,11.1342465753425
"73","ALB","ALB-2013","Rama","2013-09-15","2015-12-31","Regular",10,"M",2.29956501831502,"2005-09-11",34,3763.04166666667,10.309703196347
"74","ALB","ALB-2013","Rama","2013-09-15","2015-12-31","Regular",10,"M",2.29956501831502,"2013-09-15",35,837.041666666667,2.29326484018265
"75","ALG","ALG-1962-2","Bella","1962-09-26","1965-06-19","Regular",1,"M",2.73901098901099,"1962-07-03",2,1082,2.96438356164384
"76","ALG","ALG-1962-2","Bella","1962-09-26","1965-06-19","Regular",1,"M",2.73901098901099,"1962-09-26",3,997,2.73150684931507
"77","ALG","ALG-1965","Boumedienne","1965-06-19","1978-12-27","Irregular",NA,"M",13.5687957875458,"1962-09-26",4,5936.04166666667,16.2631278538813
"78","ALG","ALG-1978","Bitat","1978-12-27","1979-02-07","Regular",NA,"M",0.115384615384615,"1965-06-19",5,4981.04166666667,13.6466894977169
"79","ALG","ALG-1979","Benjedid","1979-02-07","1992-01-11","Regular",1,"M",12.9697802197802,"1978-12-27",6,4763,13.0493150684932
"80","ALG","ALG-1979","Benjedid","1979-02-07","1992-01-11","Regular",1,"M",12.9697802197802,"1979-02-07",7,4721,12.9342465753425
"81","ALG","ALG-1992-1","Boudiaf","1992-01-14","1992-06-29","Irregular",7,"M",0.45867673992674,"1979-02-07",8,4890.95833333333,13.3998858447489
"82","ALG","ALG-1992-1","Boudiaf","1992-01-14","1992-06-29","Irregular",7,"M",0.45867673992674,"1992-01-14",9,166.958333333333,0.457420091324201
"83","ALG","ALG-1992-2","Kafi","1992-07-02","1994-01-31","Regular",NA,"M",1.58802655677656,"1992-01-14",10,748,2.04931506849315
"84","ALG","ALG-1994","Zeroual","1994-01-31","1999-04-27","Regular",NA,"M",5.25263278388278,"1992-07-02",11,2490,6.82191780821918
"85","ALG","ALG-1999","Bouteflika","1999-04-27","2015-12-31","Regular",10,"M",16.7363782051282,"1994-01-31",12,8004,21.9287671232877
"86","ALG","ALG-1999","Bouteflika","1999-04-27","2015-12-31","Regular",10,"M",16.7363782051282,"1999-04-27",13,6092.04166666667,16.6905251141553
"87","ANG","ANG-1979","Dos Santos","1979-09-10","2015-12-31","Regular",10,"M",36.4314331501832,"1975-11-11",2,14660,40.1643835616438
"88","ANG","ANG-1979","Dos Santos","1979-09-10","2015-12-31","Regular",10,"M",36.4314331501832,"1979-09-10",3,13261.0416666667,36.3316210045662
"89","ARG","ARG-1880","Roca","1880-09-21","1886-10-12","Regular",NA,"M",6.07693064458689,"1874-10-12",2,4383.00275462963,12.0082267250127
"90","ARG","ARG-1886","Celman","1886-10-12","1890-08-05","Regular",NA,"M",3.82692307692308,"1880-09-21",3,3605.00275462963,9.87671987569762
"91","ARG","ARG-1890","Pellegrini","1890-08-05","1892-10-12","Regular",NA,"M",2.19505494505494,"1886-10-12",4,2192,6.00547945205479
"92","ARG","ARG-1892","L.S. Pena","1892-10-12","1895-01-23","Regular",NA,"M",2.28846153846154,"1890-08-05",5,1632,4.47123287671233
"93","ARG","ARG-1895","J. Evaristo Uriburu","1895-01-23","1898-10-12","Regular",NA,"M",3.73076923076923,"1892-10-12",6,2191,6.0027397260274
"94","ARG","ARG-1898","Roca","1898-10-12","1904-10-12","Regular",NA,"M",6.01923076923077,"1895-01-23",7,3549,9.72328767123288
